Commodity name,HSCode,FY25 import value (mm$),Last 4 Years import value average annual growth (%),FY25 export value (mm$),Last 4 Years export value average annual growth (%),Import Value/ Export Value FY25 ratio,Import Value/ Export Value Last 4 years ratio,Last 4 Years import price average annual growth (%),FY25 import price ($/unit),Last 4 Years export price average annual growth (%),FY25 export price ($/unit),Unit
OTHER CAST ARTICLES OF IRON OR STEEL N.E.S,73259999,21.41,0.46,205.19,-4.72,0.1,0.09,-0.84,3,-0.1,1.75,KGS
GRINDING BALLS AND SIMILAR ARTCLS FOR MILLS&FORGED OR STAMPED BUT NOT FURTHER WORKED,73261100,1.93,-3.95,1.91,71.4,1.01,5.14,-0.75,0.99,-1.53,2.01,KGS
OTHER ARTICLES FORGED OR STAMPED FOR AUTOMOBILES AND EARTH MOVING EQUIPMENTS,73261910,15.95,-1.78,172.73,3.88,0.09,0.13,-0.65,6.3,-0.06,2.44,KGS
OTHERS OF OTHER ARTICLES OF FORGED OR STAMPED BUT NOT FURTHER WORKED,73261990,36.42,-1.45,162.51,5.97,0.22,0.31,-0.67,5.17,0.39,3.91,KGS
TYRE BEAD WIRE RINGS USED IN MANUFACTURE OF TYRES FOR CYCLES AND CYCLERICKSHAWS,73262010,0.04,-3.89,0.08,-21.43,0.5,0.88,-29.85,15.11,5.15,3.15,KGS
OTHER ARTICLES OF IRON OR STEEL WIRE FOR OTHER USE,73262090,18.4,-0.09,64.1,3.4,0.29,0.31,0.83,3.45,-0.21,1.64,KGS
BELT LACING OF STEEL,73269010,4.65,4.85,0.68,-3.21,6.84,4.23,-1.95,3.81,0.83,5.31,KGS
BELT FASTENERS FOR MACHINERY BELTS,73269020,0.89,-1.7,0.69,0.99,1.29,1.74,3.05,14.69,-0.57,2.94,KGS
DRAIN COVERS& PLATES& AND FRAMES FOR SEWAGES& WATER OR SIMILAR SYSTEM,73269030,0.58,-1.73,6.37,11.13,0.09,0.14,2.21,6.71,-0.86,1.68,KGS
ENAMLD IRN WARE(EXCL UTNSL AND SIGN BORD),73269040,6.45,-1.24,8.11,26.65,0.8,1.31,0.81,2.48,1.57,2.69,KGS
GRINDING MEDIA BALLS AND CYLPEBS,73269050,0.83,-3.89,1.98,-20.12,0.42,0.77,-3.65,1.46,-2.2,2.63,KGS
MANUFACTRS OF STNLES STL(EXCL UTNSILS)&NES,73269060,51.21,12.64,31.85,19.02,1.61,0.97,-2,2.2,-0.93,5.99,KGS
ARTICLES OF CLAD METALS,73269070,60.87,13.67,7.99,78.87,7.62,6.57,-0.58,2.64,-0.88,0.99,KGS
PARTS OFSHIPS&FLOATING STRUCTRRE AND VESSELS (INCL RUDDER&STEERING ETC),73269080,12.58,0.6,3.89,-40.99,3.23,0.68,2.41,2.9,-4.19,7.06,KGS
SHANKS,73269091,2.65,5.49,1.07,70.68,2.48,2.77,-1.88,3.99,-2.4,1.92,KGS
ALL OTHER ARTICLES OF IRON/STEEL NES OTHER STEERING OR RUDDER EQUIPMENT FOR SHIPS AND BOATS& N.E.S.,73269099,827.75,0.92,814.46,2.17,1.02,0.94,-0.45,4.22,-0.35,3.31,KGS
COPPER MATTES,74010010,0.03,6.94,34.35,56.48,0,0,-2.94,10.62,2.52,2.5,KGS
CEMENT COPPER(PRECIPITATED COPPER),74010090,0.66,27.78,0.04,-39.66,16.5,1.6,2.84,0.32,-32.07,8.36,KGS
BLISTER COPPER FOR ELECTROLYTIC REFINING,74020010,924.33,3.37,0,-50,0,54.89,-0.3,8.88,-5.56,0,KGS
OTHER UNREFINED COPPER;COPPER ANODES FOR ELECTROLYTIC REFINING,74020090,1555.14,0.76,0.03,-31.25,51838,20971.07,0.28,9.36,3.93,16.06,KGS
CATHODS AND SECTNS OF CATHODS OF REFIND COP,74031100,2277.81,1.37,166.28,-24.92,13.7,6.68,0.92,9.52,0.01,9.13,KGS
WIRE-BARS OF REFINED COPPER,74031200,0.04,1.11,0,-50,0,0.22,-67.85,113.64,-5.56,0,KGS
BILLETS OF REFINED COPPER,74031300,16.69,-0.7,104.15,-15.97,0.16,0.13,0.6,10.96,0.23,8.96,KGS
OTHER REFINED COPPER&UNWROUGHT,74031900,83.99,6.28,8.74,-33.82,9.61,2.25,0.37,9.51,-0.25,8.45,KGS
COPPER-ZINC BASE ALLOYS(BRASS),74032100,2.13,-1.09,64.24,-20.62,0.03,0.03,0.23,7.36,0.25,5.99,KGS
PHOSPHOR BRONZE,74032210,0.25,1.16,3.34,-24.96,0.07,0.04,-0.49,14.1,5.18,15.19,KGS
OTHER COPPER-TIN BASE ALLOYS(BRONZE),74032290,1.28,-0.18,1.7,-41.87,0.75,0.16,2.62,30.89,0.35,8.06,KGS
OTHER COPPER ALLOYS(OTHER THAN MASTER ALLOYS OF HEADING NO.7405),74032900,3.98,-1.42,52.45,36.7,0.08,0.14,7.26,28.84,0.04,8.51,KGS
EMPTY OR DISCHARGED CARTRIDGES OF ALL BORES AND SIZES OF COPPER,74040011,0.86,14.63,0,-50,0,7.14,0.2,7.56,-5.56,0,KGS
COPPER SCRAP COVERED BY ISRI CODE BARLEY& BERRY &BIRCH&CANDY&CLIFF&CLOBE&COBRA& COCOADREAM AND PALMS,74040012,1420.48,3.95,77.2,4.56,18.4,13.51,0.84,6.63,0.16,8.65,KGS
OTHER COPPER SCRAPS,74040019,2.05,0.05,43.91,61.52,0.05,0.08,39.43,7.46,1.42,4.58,KGS
EMPTY OR DISCHARGED CARTRIDGES OF ALL BORES AND SIZES OF COPPER ALLOYS,74040021,0.25,0,0,0,0,0,0,5.87,0,0,KGS
BRASS SCRAP COVERED BY ISRI CODE DRINK & EBONY&ENERV&ELDER&ENGEL&ERIN&GRAPE&HONEY& IVORY&LABEL&LARK&MALON&NIGHT&NOBLE&,74040022,709.87,-0.14,10.01,5.28,70.92,77.89,-0.28,5.47,0.26,6.57,KGS
Nickel silver scrap mixed new nickel silver clippings with ISRI Code word Maize and Major,74040023,0,0,0,-50,0,0,0,0,-5.56,0,KGS
BRONZE SCRAP INCLUDING THE FOLLOWING: MANGANESE BRONZE SOLIDS COVERED ISRI CODE WORD PARCH,74040024,0.12,-2.38,0,-50,0,0.89,-3.2,1.37,-5.56,0,KGS
COPPER NICKEL SCRAP& INCLUDING THE FOLLOWING: NEW CUPRO NICKEL CLIPS AND SOLIDS,74040025,43.64,9.03,1.61,82.69,27.11,27.26,0.31,8.67,0.17,8.23,KGS
OTHER BRASS SCRAPS,74040029,0.96,-3.74,1.09,-26.06,0.88,1.23,-0.15,5.39,1.13,6.76,KGS
MASTER ALLOYS OF COPPER,74050000,4.89,4.99,4.55,-7.95,1.07,0.61,-1.63,15.74,0.03,9.29,KGS
COPPER POWDERS OF NON-LAMELLAR STRUCTURE,74061000,12.8,0.58,1.25,-7.09,10.24,8.47,0.23,13.77,5.61,11.98,KGS
COPPER POWDERS OF LAMELAR STRUCTURE&FLAKES,74062000,3.33,-1.01,0.89,36.13,3.74,6.36,0.67,13.32,2.57,15.99,KGS
ELECTROLYTIC COPPER RODS OR BLACK COPPER RODS(INCLUDING COILS)&WROUGHT,74071010,35.25,3.86,6.87,20.73,5.13,4.55,0.15,9.8,-0.56,9.45,KGS
COPPER RODS OTHR THAN ELECTROLYTIC&WROUGHT,74071020,9.2,-1.49,10.2,14.29,0.9,1.38,0.52,11.81,-0.08,10.45,KGS
COPPER BARS(SOLID)&WROUGHT,74071030,8.66,-2.53,32.44,149.26,0.27,0.99,0.45,11.68,0.38,11.52,KGS
HOLLOW BARS OF COPPER&WROUGHT,74071040,0.54,-2.13,0,0,0,0,0.68,16.44,0,0,KGS
HOLLOW PROFILES OF REFINED COPPER,74071051,0,-5.56,0.12,150,0,0.05,-5.56,0,-0.6,11.65,KGS
OTHER PROFILES OF REFINED COPPER,74071059,16.2,2.07,0.08,-32.09,202.5,68.83,0.29,12.19,5.99,10.59,KGS
OTHER REFIEND COPPER BARS AND RODS,74071090,12.87,-1.65,2.37,38.65,5.43,10.62,0.24,11.96,0.89,16.65,KGS
BARS OF BRASS,74072110,2.25,-3.79,10.72,-6.48,0.21,0.49,1.86,8.86,0.36,8.4,KGS
RODS OF BRASS,74072120,31.92,2.07,4.37,28.32,7.3,7.99,-1.72,7.06,-0.04,7.69,KGS
HOLLOW BARS OF BRASS,74072130,0,-5.56,0.43,188.89,0,0.03,-5.56,0,-0.29,7.53,KGS
OTHER BARS AND RODS OF BRASS,74072190,18.35,-0.44,1.57,158.41,11.69,28.95,-0.68,9.4,0.38,12.19,KGS
RODS OF BRONZE AND SIMILAR ALLOYS,74072910,1.69,-0.24,9.76,4.87,0.17,0.19,13.08,27.61,-0.2,11.75,KGS
HOLLOW BARS OF CUPRO-NICKL/NCKL SLVR,74072921,1.11,0.32,0.08,83.33,13.88,25.06,0.31,10.58,-0.26,15.37,KGS
OTHER PROFILES OF OTHER COPPER ALLOYS,74072929,0.89,-2.3,0.11,-17.65,8.09,8.77,-1.7,12.84,3.4,16.56,KGS
OTHER BARS RODS ETC&OF OTHER COPPER ALLOYS,74072990,20.69,4.5,1.53,-16.3,13.52,6.59,-0.25,18.19,1.27,14.67,KGS
CU WLD WIRE WTH MAX CRS-SEC DIAMTR>6MM,74081110,0.52,-4.78,0.04,-32.86,13,30.03,1.12,10.8,-1.28,8.73,KGS
OTHR COPPR WIRE WTH MAX CRS-SEC DIAMTR>6MM,74081190,990.17,6.24,536.03,15,1.85,1.35,0.23,9.39,0.47,9.51,KGS
COPPER WELD WIRE WITH CROSS SECTON<=6MM,74081910,2.75,-2.7,2.68,-29.94,1.03,0.83,1.47,12.79,1.84,11.86,KGS
WELDING WIRE OF COPR WITH CROSS SECTION <=6MM,74081920,18.44,8.16,0.03,-26.32,614.67,185.64,0.4,12.23,-4.35,1.31,KGS
OTHERS WITH CROSS SECTION<=6MM,74081990,385.69,-1.18,6.6,-24.85,58.44,40.33,0.51,10.29,0.55,10.18,KGS
WIRE OF COPPER-ZINC BASE ALLOYS(BRASS) CROSS-SECTIONAL DIMENSION EXCEEDS 6MM,74082110,2,1.71,0.03,-15.38,66.67,41.19,0.19,10,-1.04,7.98,KGS
WIRE OF COPPER-ZINC BASE ALLOYS(BRASS) CROSS-SECTIONAL DIMENSION <= 6MM,74082190,43.06,1.57,4.08,-12.2,10.55,7.09,-0.19,8.83,0.59,9.8,KGS
SILVR PLATD FLATND WIRE OF COPR(LAMETTA),74082210,0.01,-5.07,0.01,0,1,8.75,5.83,20.58,-3.24,8.97,KGS
WIRE OF COPPER-NCKL BASE ALOYS(CUPRO-NCKL)OR COPPER-NCKL-ZINC BASE ALOYS(NCKL-SILVR)CROSS-SECTIONAL DIMENSION EXCEEDS 6M,74082220,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
OTHER WIRE OF COPPER-NCKL BASE ALOYS OR COPPER-NCKL-ZINC BASE ALOYS,74082290,26.02,-0.41,3.96,6.46,6.57,7.62,-0.26,12.5,-0.73,19.57,KGS
WIRE OF BRONZE AND SIMILAR ALLOYS,74082910,2.42,9.01,0.05,-30.26,48.4,12.07,5.11,27.24,3.68,22.8,KGS
OTHER WIRE OF OTHER COPPER ALLOYS,74082990,26.33,8.21,2.36,75.09,11.16,11.21,-0.06,12.56,3.58,20.29,KGS
PLATES&SHEETS ETC OF REFIND COPR IN COILS,74091100,76.83,5.51,25.52,11.69,3.01,2.2,-0.32,11.55,0.04,10.91,KGS
OTHER PLATES&SHEETS ETC OF REFINED COPPER,74091900,52.81,-0.55,30.8,39.64,1.71,2.78,-0.88,8.13,-0.07,10.49,KGS
PLATES SHEETS AND STRIP OF COPPER-ZINC BASE ALLOYS(BRASS)IN COILS,74092100,48.03,1.43,46.98,30.95,1.02,1.21,-0.81,9.16,0.21,8.93,KGS
PLATES&SHEETSANDSTRIP OF COPPER-ZINC BASE (ALLOYS BRASS) NOT IN COILS,74092900,5.71,-1.5,2.72,9.56,2.1,3.05,0.63,9.15,0.06,8.83,KGS
PLATES&SHEETS&STRIP OF COPPER-TIN BASE ALLOYS(BRONZE)IN COILS,74093100,58.07,7.75,0.86,-25.98,67.52,21,0.06,12.86,-0.07,12.28,KGS
PLATES&SHEETS&STRIPS OF COPPER-TIN BASE ALLOYS (BRONZE)NOT IN COILS,74093900,1.92,-2.1,0.28,6.76,6.86,10.97,3.12,25.23,3.97,21.24,KGS
PLATS ETC.OF COPR-NCKL BASE ALOYS(CUPRO- NCKL)/COPR-NCKL-ZNC BASE ALOY(NCKL-SILVR),74094000,8.39,1.62,2.64,-22.03,3.18,1.66,-0.13,16.98,0.86,9.98,KGS
PLATES&SHEETS ETC.OF OTHER COPPER ALLOYS,74099000,68.51,8.49,10.37,-9.58,6.61,3.07,-0.43,11.1,-0.13,22.03,KGS
FOIL OF REFINED COPPER&NOT BACKED,74101100,9.21,-0.42,40.52,5.24,0.23,0.26,3.05,17.92,0.34,10.76,KGS
FOIL OF COPPER ALLOYS&NOT BACKED,74101200,1.37,-0.46,9.97,19.82,0.14,0.19,-0.32,21.82,0.2,8.34,KGS
FOIL OF REFINED COPPER&BACKED,74102100,80.58,0.56,0.11,-17.65,732.55,484.02,-0.65,3.71,-3.55,12.31,KGS
FOIL OF COPPER ALLOYS&BACKED,74102200,12.91,0.94,0.12,100,107.58,191.92,-0.19,6.65,5.96,74.81,KGS
TUBES AND PIPES OF REFINED COPPER,74111000,1175.04,2.98,66.14,23.81,17.77,17.29,0.21,10.46,0.17,11.71,KGS
TUBES AND PIPES OF COPR-ZNC BASE ALOYS(BRAS),74112100,11.2,1.14,27.57,11.67,0.41,0.41,-2.17,9.87,0.36,11.26,KGS
TUBES ANDPIPS OF COPR-NCKL BAS ALOYS(CUPRO- NCKL)/COPR-NCKL-ZNC BASE ALOY(NCKL-SILVR),74112200,2.98,-0.38,17.99,3.41,0.17,0.18,-2.16,16.98,0.29,14.53,KGS
TUBES AND PIPES OF OTHER COPPER ALLOYS,74112900,9.72,-0.52,0.81,-23.87,12,7.67,-0.09,13.34,3.18,17.58,KGS
TUBE OR PIPE FITINGS OF REFINED COPPER,74121000,3.86,-1.21,3.83,50.09,1.01,1.95,1.11,24.19,-0.56,15.58,KGS
TUBE WELL STRAINER OF BRASS,74122011,0.17,-2.69,0.07,55,2.43,6.82,42.29,49.43,-1.34,19.54,KGS
BRASS HOSE CONNECTORS,74122012,0.99,0.58,2.47,6.65,0.4,0.41,0.87,20.95,-0.07,14.13,KGS
0THR TUBE OR PIPE FTNGS OF BRASS,74122019,12.51,0.81,35.05,2.47,0.36,0.33,-0.74,16.31,0.56,13.3,KGS
FITTINGS OF BRNZ AND SMLR ALOYS OF COPR NES,74122090,19.69,3.25,22.68,19.02,0.87,0.79,0.76,19.94,0.18,16.85,KGS
STRANDED WIRE&CABLES&PLAITD BANDS AND LIKE OF COPPER&NOT ELECTRICALLY INSULATED,74130000,13.9,-0.97,26.36,23.4,0.53,0.8,2.89,17.26,-0.21,11.97,KGS
NAIL AND TACK&DRWNG PIN&STPLS AND SMLR ARTCLS,74151000,0.92,-0.59,0.69,-2.3,1.33,1.4,10.7,40.11,0.26,8.53,KGS
WASHRS(INCL SPRING WASHRS)&NOT THREADED,74152100,1.98,2.61,5.09,23.27,0.39,0.39,0.13,46.92,-0.03,18.63,KGS
OTHER ARTICLES&NOT THREADED,74152900,8.75,5.94,5.23,-15.43,1.67,0.77,-0.74,12.45,0.63,13.2,KGS
SCREWS FOR WOOD&THREADED,74153310,0.47,-1,1.33,-11.49,0.35,0.34,2.71,35.01,1.24,11.66,KGS
OTHER SCREWS; BOLTS AND NUTS :THREADED,74153390,8.49,1.17,29.7,6.03,0.29,0.27,-1.43,14.86,0.39,14.29,KGS
RIVETS(EXCL TUBULAR AND BIFURCATED),74153910,4.98,1.64,0.28,57.69,17.79,24.64,4.27,24.01,-0.08,12.42,KGS
OTHER THREADED ARTICLES N.E.S.,74153990,11.32,3.82,10.45,2.09,1.08,0.78,-1.19,5.48,0.05,12.52,KGS
POT SCOURERS AND SCOURING OR POLISHING PADS& GLOVES AND THE LIKE,74181010,0.01,-3.47,0.33,3.23,0.03,0.07,-4.15,4.61,3.6,15.16,KGS
OF BRASS,74181021,0.05,0.85,6.74,17.94,0.01,0.01,10.61,39.59,0.01,12.5,KGS
OF COPPER,74181022,0.01,-4.37,6.06,15.63,0,0.01,-4.3,2.68,0.55,19.73,KGS
OF OTHER COPPER ALLOYS,74181023,0.01,11.11,0.35,-15.69,0.03,0.01,1.03,12.67,-0.11,14.8,KGS
E.P.N.S. WARE,74181024,0,0,1.09,71.11,0,0,0,0,3.28,80.65,KGS
OF E.P.N.S.,74181031,0,0,0.04,-21.43,0,0,0,0,0.02,40.61,KGS
OTHER UTENSILS,74181039,0.24,5.26,4.22,7.97,0.06,0.04,3.17,39.64,0.19,10.85,KGS
PARTS,74181090,0.33,-2.69,1.65,8.51,0.2,0.38,-0.73,17.68,0.21,9.61,KGS
SANITARY WARE,74182010,12,0.76,4.27,17,2.81,3.16,0.61,22.55,1.99,17.75,KGS
PARTS OF SANITARY WARE,74182020,17.94,0.76,44.49,13.08,0.4,0.43,-0.32,23.26,-0.08,11.42,KGS
*CHAINS,74191010,0,-5.56,0,-50,0,0.5,-5.56,0,-5.56,0,KGS
*PARTS OF COPPER CHAINS,74191021,0,0,0,-50,0,0,0,0,-5.56,0,KGS
*OTHER PARTS,74191029,0,-5.56,0,-50,0,3.09,-5.56,0,-5.56,0,KGS
CAST& MOULDED& STAMPED OR FORGED& BUT NOT FURTHER WORKED,74192000,1.46,-2.03,2.04,35.47,0.72,1.49,-0.84,30.42,-0.04,24.85,KGS
RESERVOIRS& TANKS& VATS AND SIMILAR CONTAINERS,74198010,0.13,-0.52,0.56,62,0.23,0.43,-1.72,34.25,2.67,25.16,KGS
ARTICLES OF COPPER ALLOYS ELECTRO-PLATED WITH NICKEL-SILVER,74198020,0.01,-5.19,5.98,11.31,0,0.02,-2.13,7.86,0.26,18.45,KGS
ARTICLES OF BRASS,74198030,7.07,1.91,172.47,23.26,0.04,0.04,3.99,19.84,1.06,16.87,KGS
COPPER WORKED ARTICLES,74198040,0.1,-1.17,12.63,20.77,0.01,0.01,2.17,22.65,0.11,22.6,KGS
COPPER CHAIN,74198050,0.16,3.64,0.39,80,0.41,0.54,10.77,41.26,2.54,29.24,KGS
OTHER ARTICLES OF COPPER,74198090,80.69,5.77,84.66,16.6,0.95,0.72,2.05,18.59,0.01,13,KGS
*ARTICLES OF COPPER&CAST&MOULDED STAMPED OR GORGED&BUT NOT FURTHER WORKED,74199100,0,-5.56,0,-50,0,3.57,-5.56,0,-5.56,0,KGS
*RESERVOIRS&TANKS VATS AND SIMILAR CONTAINERSOF A CAPACITY ABOVE 300 LITRES,74199910,0,-5.56,0,-50,0,3.2,-5.56,0,-5.56,0,KGS
*ARTICLES OF COPPER ALLOYS ELECTROPLATED WITH NICKEL-SILVER,74199920,0,-5.56,0,-50,0,0.25,-5.56,0,-5.56,0,KGS
*ARTICLES OF BRASS,74199930,0,-5.56,0,-50,0,0.03,-5.56,0,-5.56,0,KGS
*COPPER WORKED ARTICLES,74199940,0,-5.56,0,-50,0,0.01,-5.56,0,-5.56,0,KGS
*OTHERS,74199990,0,-5.56,0,-50,0,0.89,-5.56,0,-5.56,0,KGS
NICKEL MATTES,75011000,0,0,0,-50,0,0,0,0,-5.56,0,KGS
NICKEL OXIDE SINTERS AND OTHER INTERMEDIATE PRODUCTS OF NICKEL METALLURGY,75012000,29.77,34.17,0.06,78.57,496.17,325.08,-1.76,3.04,-1.09,2.99,KGS
NICKEL&NOT ALLOYED,75021000,566.1,-0.57,11.19,-34.38,50.59,20.73,-0.89,15.85,-1.94,18.07,KGS
CUPRONICKL CONTNG ABOV 40% BY WT OF NICKL,75022010,0.18,2.34,0,0,0,0,3.33,60,0,0,KGS
MONEL METAL INCLUDING (K) MONEL,75022020,0.04,-1.85,0.05,43.75,0.8,1.69,-31.41,571.43,2.72,9.05,KGS
NICKEL ALOYS CONTNG NICKEL>40% BY WT&NES,75022030,0.6,-0.9,3.04,108.89,0.2,0.47,6.49,49.54,-0.59,17.27,KGS
NICKEL ALLOYS CONTAINING ABOV 10% BUT NOT ABOVE 40% BY WT OF NICKEL&N.E.S.,75022040,0.06,5.56,0,0,0,0,-0.74,9.8,0,0,KGS
OTHER NICKEL ALLOYS,75022090,5.72,0.08,0.03,-33.93,190.67,73.03,2.18,29.48,-2.77,20.39,KGS
NICKLE SCRAP COVERED BY ISRI CODE AROMA& BARLY&DANDY&DAUNT&DELTA&DECOY&DEPTH&HITCH&HOUSE& IDEAL&INDIAN&JUNTO&LEMON&LEMU,75030010,43.59,1.47,17.12,45.5,2.55,3.34,-0.62,8.82,0.15,13.01,KGS
OTHER NICKLE SCRAP,75030090,0,-5.56,13.44,-0.38,0,0,-5.56,0,-0.41,12.41,KGS
NICKEL POWDERS AND FLAKES,75040000,19.72,0.67,12.91,50.08,1.53,2.25,0.15,27.8,-0.91,35.92,KGS
HOLLOW BARS OF NICKEL&NOT ALLOYED,75051110,0.2,6.79,0.01,-12.5,20,9.4,1.8,49.44,1.02,11.35,KGS
BARS RODS AND PROFILES OF NICKEL NOT ALLOYED,75051120,3.68,64.14,7.96,-5.89,0.46,0.13,0.42,38.27,-1.25,22.88,KGS
HOLLOW BARS OF NICKEL ALLOYS,75051210,6.04,-0.39,1.23,206.25,4.91,13.09,-0.52,30.43,-0.93,30.75,KGS
BARS&RODS AND PROFILES OF NICKEL ALLOYS,75051220,172.35,2.17,15.26,37.23,11.29,13.11,0.02,31.53,-0.4,26.56,KGS
WIRE OF NICKEL&NOT ALLOYED,75052100,0.21,-0.83,6.43,13.41,0.03,0.04,-0.93,38.28,-0.3,27.09,KGS
WIRE OFNICKEL ALLOYS,75052200,48.52,2.32,27.28,1.25,1.78,1.41,-0.52,29.81,-0.71,25.73,KGS
PLATES&SHEETS&FOIL ETC OF NICKEL&NT ALLOYD,75061000,9.37,0.17,0.58,52.35,16.16,25.62,0.37,33.31,4.09,59.93,KGS
PLATES&SHEETS&FOIL ETC OF NICKEL ALLOYS,75062000,130.63,0.51,5.21,0.16,25.07,23.54,-0.03,30.31,0.42,42.98,KGS
TUBES AND PIPES OF NICKEL&NOT ALLOYED,75071100,1.17,3.51,0.06,62.5,19.5,23.71,0.08,56.75,6.6,130.43,KGS
TUBES AND PIPES OF NICKEL ALLOYS,75071200,91.57,4.07,18.49,3.31,4.95,3.55,1.43,31.46,0.91,44.35,KGS
TUBES OR PIPE FITTINGS,75072000,13.49,4.39,5.82,62.21,2.32,2.65,1.77,50.24,1.14,87.79,KGS
CLOTH&GRILL AND NETTING& OF NICKEL WIRE,75081000,0.03,-3.63,0.02,10,1.5,4.14,3.09,101.01,-3.74,12.49,KGS
ELECTRPLTNG ANODS OF NCKL&WROGHT/UNWROGHT,75089010,0.75,9.5,0.06,-14,12.5,5.1,-2.38,24.77,-2.25,92.31,KGS
BLANKS FR MNFCTRNG TUBES AND PIPES OF NICKEL,75089020,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
NICKEL SCREEN,75089030,0.07,-4.65,7.27,21,0.01,0.06,15.37,79.55,-0.49,101.35,KGS
ARTICLES OF NICKEL AND NICKEL ALLOYS&N.E.S.,75089090,72.55,0.77,9.11,45.76,7.96,11.28,5.61,222.94,1.44,98.98,KGS
ALUMINIUM INGOTS-NOT ALLOYED,76011010,168.36,-0.62,2346.47,-16.88,0.07,0.06,0.15,2.66,0.06,2.68,KGS
ALUMINIUM BILLETS -NOT ALLOYED,76011020,1.34,26.81,2.18,-43.7,0.61,0.04,0.21,3.07,0.72,2.81,KGS
ALUMINIUM WIRE BARS -NOT ALLOYED,76011030,0.09,0,0,0,0,0,0.31,6.72,0,0,KGS
ALUMINIUM WIRE RODS -NOT ALLOYED,76011040,2.65,-1.9,4.61,125.51,0.57,1.72,0.19,2.93,-0.24,2.85,KGS
OTHER ALUMINIUM-NOT ALLOYED,76011090,0.76,-4.97,0.23,-46.1,3.3,2.46,-2.75,0.78,1.1,2.65,KGS
ALUMINIUM INGOTS -ALLOYED,76012010,675.99,3.8,135.56,-29.7,4.99,1.65,-0.32,2.7,0.62,2.82,KGS
ALUMINIUM BILLETS - ALLOYED,76012020,116.37,0.14,803.65,0.95,0.14,0.14,0.13,2.83,-0.92,2.42,KGS
ALUMINIUM WIRE BARS -ALLOYED,76012030,0.11,0,0.01,25,11,3.67,0,23.28,9.6,35.21,KGS
ALUMINIUM WIRE RODS -ALLOYED,76012040,0.05,-0.35,0.07,11.76,0.71,0.88,-0.62,2.42,-1.16,2.75,KGS
OTHER ALUMINIUM ALLOYS,76012090,80.89,3.12,23.15,13.87,3.49,3.05,-0.65,2.53,-0.46,2.49,KGS
ALUMINIUM SCRAP COVERD BY ISRI CODE TABLETTABLOID&TABOO&TAINT/TABOR&TAKE& TALAP& TALCRED&TALDACK&TALDON&TA,76020010,3771.88,0.59,7.24,21.21,520.98,622.64,0.27,2.08,0.12,2.24,KGS
OTHER ALUMINIUM WASTE AND SCRAP,76020090,1.16,8.06,3.13,-7.28,0.37,0.18,0.46,1.88,-0.58,1.87,KGS
ALUMINIUM POWDER FOR THERMIT PROCESS,76031010,3.78,-1.48,2.88,33.4,1.31,2.39,-0.94,3.33,-0.57,3.54,KGS
OTHERS,76031090,4.73,3.48,3.19,60.25,1.48,1.79,0.1,7.12,-0.19,3.22,KGS
POWDERS OF LAMELLAR STRUCTURE-FLAKES,76032000,3.42,4.44,14.12,10.43,0.24,0.19,-0.11,4.42,-0.2,4,KGS
WIRE RODS OF ALUMINIUM-NOT ALLOYED,76041010,0.8,4.39,1.97,-26.6,0.41,0.15,2.31,8.16,0.66,3.42,KGS
BARS AND RODS& OTHER THAN WIRE RODS OF ALUMINIUM-NOT ALLOYED,76041020,3.76,-1.68,0.7,3.03,5.37,7.44,-0.92,4.25,-0.63,4.46,KGS
HOLLOW PROFILES OF ALUMINIUM-NOT ALLOYED,76041031,1.56,-4.76,0.05,-37.5,31.2,52.48,-2.6,2.38,2.03,5.2,KGS
OTHER PROFILES OF ALUMINIUM-NOT ALLOYED,76041039,21.53,0.99,7.58,-18.82,2.84,1.73,-1.34,2.81,0.13,5.5,KGS
HOLLOW PROFILES OF ALUMINIUM ALLOYS,76042100,76.67,1.25,43.57,-14.58,1.76,1.16,-0.75,4.67,0.15,5.08,KGS
HRD DRWN BARE ALMNM CONDCTRS STL RE-INFRCD,76042910,4.67,2.74,7.48,38.77,0.62,0.7,2.18,17.03,0.71,5.98,KGS
OTHER WIRE RODS,76042920,0.02,-4.51,1.18,630.77,0.02,0.24,4.06,18.2,-0.27,3.02,KGS
OTHER BARS AND RODS& OTHER THAN WIRE RODS,76042930,12.93,1.04,22.08,-22.41,0.59,0.32,-0.54,7.83,-0.19,3.6,KGS
OTHR BARS&RODS PROFILS OF ALMN ALLOYS NES,76042990,106.19,1.17,30.02,2.4,3.54,3.18,-0.4,3.9,0.4,4.79,KGS
ALUMINIUM WIRE-NOT ALLOYED-OF WHICH THE MAXIMUM CROSS-SCTNL DIMENSION EXCEEDS 7 MM,76051100,111.89,21.48,356.81,-8.39,0.31,0.11,2.19,2.67,0.22,2.85,KGS
OTHER ALUMINIUM WIRE-NOT ALLOYED MAXIMUM CROSS-SCTNL DIMENSION > 6 MM BUT <=7MM,76051910,0,-5.56,0.02,-28.57,0,0.5,-5.56,0,50.51,6.13,KGS
OTHER ALUMINIUM WIRE-NOT ALLOYED HARD DRAWN BARE-SOLID,76051991,0,-5.56,0.13,437.5,0,0.06,-5.56,0,-0.18,3.58,KGS
OTHER ALUMINIUM WIRE-NOT ALLOYED N.E.S.,76051999,3.78,4.96,7.14,18.04,0.53,0.43,0.28,5.01,0,3.52,KGS
